model,reasoning,carrier,semantic_success,strategy,count,group_trials,within_group_rate
gpt-5.3-codex-spark,high,all-shuffled,False,generic_corruption_detection,3,3,1.0
gpt-5.3-codex-spark,high,fixed,False,generic_corruption_detection,14,20,0.7
gpt-5.3-codex-spark,high,fixed,False,lexical_reconstruction_without_stride,4,20,0.2
gpt-5.3-codex-spark,high,fixed,False,repeated_reconstruction,2,20,0.1
gpt-5.3-codex-spark,high,jitter,False,direct_one_pass_tool_free,3,20,0.15
gpt-5.3-codex-spark,high,jitter,False,generic_corruption_detection,6,20,0.3
gpt-5.3-codex-spark,high,jitter,False,lexical_reconstruction_without_stride,1,20,0.05
gpt-5.3-codex-spark,high,jitter,False,repeated_reconstruction,4,20,0.2
gpt-5.3-codex-spark,high,jitter,False,shell_or_tool_assisted_decoder,6,20,0.3
gpt-5.3-codex-spark,medium,all-shuffled,False,generic_corruption_detection,3,3,1.0
gpt-5.3-codex-spark,medium,fixed,False,generic_corruption_detection,15,20,0.75
gpt-5.3-codex-spark,medium,fixed,False,lexical_reconstruction_without_stride,3,20,0.15
gpt-5.3-codex-spark,medium,fixed,False,shell_or_tool_assisted_decoder,2,20,0.1
gpt-5.3-codex-spark,medium,jitter,False,generic_corruption_detection,13,20,0.65
gpt-5.3-codex-spark,medium,jitter,False,lexical_reconstruction_without_stride,2,20,0.1
gpt-5.3-codex-spark,medium,jitter,False,repeated_reconstruction,4,20,0.2
gpt-5.3-codex-spark,medium,jitter,False,shell_or_tool_assisted_decoder,1,20,0.05
gpt-5.3-codex-spark,xhigh,all-shuffled,False,generic_corruption_detection,3,3,1.0
gpt-5.3-codex-spark,xhigh,fixed,False,generic_corruption_detection,14,20,0.7
gpt-5.3-codex-spark,xhigh,fixed,False,lexical_reconstruction_without_stride,3,20,0.15
gpt-5.3-codex-spark,xhigh,fixed,False,repeated_reconstruction,2,20,0.1
gpt-5.3-codex-spark,xhigh,fixed,False,shell_or_tool_assisted_decoder,1,20,0.05
