topic,condition,expected_answer,selected_target,semantic_success,counterpart_error,control_target_selection,classification,explicit_hidden_structure_mention,elapsed_seconds,input_tokens,output_tokens,reasoning_output_tokens
ceramics,cover_only,,,False,False,False,no_target_answer,False,6.897,10203,77,47
ceramics,hidden_a,Rowan,,False,False,False,no_target_answer,False,71.391,10327,2693,2670
ceramics,hidden_b,Mira,,False,False,False,no_target_answer,False,14.97,10327,392,373
ceramics,scrambled,,,False,False,False,no_target_answer,False,34.382,10327,1066,1034
garden,cover_only,,,False,False,False,no_target_answer,False,5.313,10213,33,17
garden,hidden_a,Rowan,,False,False,False,no_target_answer,False,30.966,10324,1060,1034
garden,hidden_b,Mira,,False,False,False,no_target_answer,False,8.515,10324,137,113
garden,scrambled,,,False,False,False,no_target_answer,False,22.649,10324,535,497
harbor,cover_only,,,False,False,False,no_target_answer,False,9.455,10226,75,52
harbor,hidden_a,Rowan,,False,False,False,both_target_names,False,120.878,22044,5450,5300
harbor,hidden_b,Mira,,False,False,False,no_target_answer,False,20.413,10324,549,512
harbor,scrambled,,,False,False,False,both_target_names,False,24.213,10324,822,782
