variant,condition,strategy,trials
original,signal,apparent_lexical_reconstruction,1
original,signal,direct_one_pass_response,25
original,signal,explicit_fixed_stride_hypothesis,12
original,signal,explicit_testing_of_candidate_strides,1
original,signal,shell_or_tool_assisted_reconstruction,1
original,all_shuffled,apparent_lexical_reconstruction,2
original,all_shuffled,direct_one_pass_response,13
original,all_shuffled,explicit_fixed_stride_hypothesis,13
original,all_shuffled,explicit_testing_of_candidate_strides,1
original,all_shuffled,shell_or_tool_assisted_reconstruction,11
lower,signal,direct_one_pass_response,25
lower,signal,explicit_fixed_stride_hypothesis,9
lower,signal,explicit_recognition_of_shuffled_text,1
lower,signal,explicit_testing_of_candidate_strides,2
lower,signal,shell_or_tool_assisted_reconstruction,3
lower,all_shuffled,direct_one_pass_response,14
lower,all_shuffled,explicit_fixed_stride_hypothesis,6
lower,all_shuffled,explicit_recognition_of_shuffled_text,4
lower,all_shuffled,explicit_testing_of_candidate_strides,4
lower,all_shuffled,shell_or_tool_assisted_reconstruction,12
nopunct,signal,direct_one_pass_response,21
nopunct,signal,explicit_fixed_stride_hypothesis,10
nopunct,signal,explicit_recognition_of_shuffled_text,2
nopunct,signal,explicit_testing_of_candidate_strides,5
nopunct,signal,shell_or_tool_assisted_reconstruction,2
nopunct,all_shuffled,apparent_lexical_reconstruction,3
nopunct,all_shuffled,direct_one_pass_response,3
nopunct,all_shuffled,explicit_fixed_stride_hypothesis,7
nopunct,all_shuffled,explicit_recognition_of_shuffled_text,3
nopunct,all_shuffled,explicit_testing_of_candidate_strides,10
nopunct,all_shuffled,shell_or_tool_assisted_reconstruction,14
lower_nopunct,signal,apparent_lexical_reconstruction,3
lower_nopunct,signal,direct_one_pass_response,23
lower_nopunct,signal,explicit_fixed_stride_hypothesis,2
lower_nopunct,signal,explicit_recognition_of_shuffled_text,5
lower_nopunct,signal,explicit_testing_of_candidate_strides,4
lower_nopunct,signal,shell_or_tool_assisted_reconstruction,3
lower_nopunct,all_shuffled,apparent_lexical_reconstruction,1
lower_nopunct,all_shuffled,direct_one_pass_response,10
lower_nopunct,all_shuffled,explicit_fixed_stride_hypothesis,5
lower_nopunct,all_shuffled,explicit_recognition_of_shuffled_text,2
lower_nopunct,all_shuffled,explicit_testing_of_candidate_strides,5
lower_nopunct,all_shuffled,shell_or_tool_assisted_reconstruction,17
