model,reasoning,carrier,stimulus_identity,trials,completed_responses,answer_A,answer_B,other_or_no_answer,expected_success,expected_success_rate,success_ci_low,success_ci_high
gpt-5.3-codex-spark,high,all-shuffled,none,3,3,0,0,3,0,0.0,5.551115123125783e-17,0.5614970317550454
gpt-5.3-codex-spark,high,fixed,A,10,10,0,0,10,0,0.0,0.0,0.2775327998628892
gpt-5.3-codex-spark,high,fixed,B,10,10,0,0,10,0,0.0,0.0,0.2775327998628892
gpt-5.3-codex-spark,high,jitter,A,10,10,0,0,10,0,0.0,0.0,0.2775327998628892
gpt-5.3-codex-spark,high,jitter,B,10,10,0,0,10,0,0.0,0.0,0.2775327998628892
gpt-5.3-codex-spark,medium,all-shuffled,none,3,3,0,0,3,0,0.0,5.551115123125783e-17,0.5614970317550454
gpt-5.3-codex-spark,medium,fixed,A,10,10,0,0,10,0,0.0,0.0,0.2775327998628892
gpt-5.3-codex-spark,medium,fixed,B,10,10,0,0,10,0,0.0,0.0,0.2775327998628892
gpt-5.3-codex-spark,medium,jitter,A,10,10,0,0,10,0,0.0,0.0,0.2775327998628892
gpt-5.3-codex-spark,medium,jitter,B,10,10,0,0,10,0,0.0,0.0,0.2775327998628892
gpt-5.3-codex-spark,xhigh,all-shuffled,none,3,3,0,0,3,0,0.0,5.551115123125783e-17,0.5614970317550454
gpt-5.3-codex-spark,xhigh,fixed,A,10,10,0,0,10,0,0.0,0.0,0.2775327998628892
gpt-5.3-codex-spark,xhigh,fixed,B,10,10,0,0,10,0,0.0,0.0,0.2775327998628892
gpt-5.3-codex-spark,xhigh,jitter,A,10,10,1,0,9,1,0.1,0.017876213095072896,0.4041500267952385
gpt-5.3-codex-spark,xhigh,jitter,B,10,10,0,0,10,0,0.0,0.0,0.2775327998628892
gpt-5.6-luna,high,all-shuffled,none,3,2,0,0,3,0,0.0,5.551115123125783e-17,0.5614970317550454
gpt-5.6-luna,high,fixed,A,10,10,2,0,8,2,0.2,0.05668215145437519,0.5098375284633583
gpt-5.6-luna,high,fixed,B,10,10,0,6,4,6,0.6,0.31267376973365824,0.8318196702937638
gpt-5.6-luna,high,jitter,A,10,9,2,0,8,2,0.2,0.05668215145437519,0.5098375284633583
gpt-5.6-luna,high,jitter,B,10,10,0,3,7,3,0.3,0.10779126740630099,0.6032218525388546
gpt-5.6-luna,medium,all-shuffled,none,3,2,0,0,3,0,0.0,5.551115123125783e-17,0.5614970317550454
gpt-5.6-luna,medium,fixed,A,10,10,2,1,7,2,0.2,0.05668215145437519,0.5098375284633583
gpt-5.6-luna,medium,fixed,B,10,10,0,3,7,3,0.3,0.10779126740630099,0.6032218525388546
gpt-5.6-luna,medium,jitter,A,10,10,3,0,7,3,0.3,0.10779126740630099,0.6032218525388546
gpt-5.6-luna,medium,jitter,B,10,10,0,3,7,3,0.3,0.10779126740630099,0.6032218525388546
gpt-5.6-luna,xhigh,all-shuffled,none,3,2,0,0,3,0,0.0,5.551115123125783e-17,0.5614970317550454
gpt-5.6-luna,xhigh,fixed,A,10,10,2,0,8,2,0.2,0.05668215145437519,0.5098375284633583
gpt-5.6-luna,xhigh,fixed,B,10,10,0,6,4,6,0.6,0.31267376973365824,0.8318196702937638
gpt-5.6-luna,xhigh,jitter,A,10,10,4,0,6,4,0.4,0.16818032970623614,0.6873262302663417
gpt-5.6-luna,xhigh,jitter,B,10,10,0,6,4,6,0.6,0.31267376973365824,0.8318196702937638
gpt-5.6-sol,high,all-shuffled,none,3,3,0,0,3,0,0.0,5.551115123125783e-17,0.5614970317550454
gpt-5.6-sol,high,fixed,A,10,10,5,0,5,5,0.5,0.236593090512564,0.7634069094874361
gpt-5.6-sol,high,fixed,B,10,10,2,3,5,3,0.3,0.10779126740630099,0.6032218525388546
gpt-5.6-sol,high,jitter,A,10,10,6,1,3,6,0.6,0.31267376973365824,0.8318196702937638
gpt-5.6-sol,high,jitter,B,10,10,0,10,0,10,1.0,0.7224672001371107,0.9999999999999999
gpt-5.6-sol,medium,all-shuffled,none,3,3,0,0,3,0,0.0,5.551115123125783e-17,0.5614970317550454
gpt-5.6-sol,medium,fixed,A,10,10,4,0,6,4,0.4,0.16818032970623614,0.6873262302663417
gpt-5.6-sol,medium,fixed,B,10,10,0,7,3,7,0.7,0.39677814746114537,0.8922087325936989
gpt-5.6-sol,medium,jitter,A,10,10,9,1,0,9,0.9,0.5958499732047615,0.9821237869049271
gpt-5.6-sol,medium,jitter,B,10,10,0,7,3,7,0.7,0.39677814746114537,0.8922087325936989
gpt-5.6-sol,xhigh,all-shuffled,none,3,2,0,0,3,0,0.0,5.551115123125783e-17,0.5614970317550454
gpt-5.6-sol,xhigh,fixed,A,10,10,7,0,3,7,0.7,0.39677814746114537,0.8922087325936989
gpt-5.6-sol,xhigh,fixed,B,10,10,1,6,3,6,0.6,0.31267376973365824,0.8318196702937638
gpt-5.6-sol,xhigh,jitter,A,10,10,8,0,2,8,0.8,0.49016247153664183,0.9433178485456247
gpt-5.6-sol,xhigh,jitter,B,10,10,0,9,1,9,0.9,0.5958499732047615,0.9821237869049271
gpt-5.6-terra,high,all-shuffled,none,3,3,0,0,3,0,0.0,5.551115123125783e-17,0.5614970317550454
gpt-5.6-terra,high,fixed,A,10,10,2,1,7,2,0.2,0.05668215145437519,0.5098375284633583
gpt-5.6-terra,high,fixed,B,10,10,0,5,5,5,0.5,0.236593090512564,0.7634069094874361
gpt-5.6-terra,high,jitter,A,10,10,3,0,7,3,0.3,0.10779126740630099,0.6032218525388546
gpt-5.6-terra,high,jitter,B,10,10,0,2,8,2,0.2,0.05668215145437519,0.5098375284633583
gpt-5.6-terra,medium,all-shuffled,none,3,3,0,0,3,0,0.0,5.551115123125783e-17,0.5614970317550454
gpt-5.6-terra,medium,fixed,A,10,10,1,1,8,1,0.1,0.017876213095072896,0.4041500267952385
gpt-5.6-terra,medium,fixed,B,10,10,0,2,8,2,0.2,0.05668215145437519,0.5098375284633583
gpt-5.6-terra,medium,jitter,A,10,10,3,0,7,3,0.3,0.10779126740630099,0.6032218525388546
gpt-5.6-terra,medium,jitter,B,10,10,0,6,4,6,0.6,0.31267376973365824,0.8318196702937638
gpt-5.6-terra,xhigh,all-shuffled,none,3,3,0,0,3,0,0.0,5.551115123125783e-17,0.5614970317550454
gpt-5.6-terra,xhigh,fixed,A,10,10,3,1,6,3,0.3,0.10779126740630099,0.6032218525388546
gpt-5.6-terra,xhigh,fixed,B,10,10,1,3,6,3,0.3,0.10779126740630099,0.6032218525388546
gpt-5.6-terra,xhigh,jitter,A,10,10,5,0,5,5,0.5,0.236593090512564,0.7634069094874361
gpt-5.6-terra,xhigh,jitter,B,10,10,0,5,5,5,0.5,0.236593090512564,0.7634069094874361
