rating_id,passage
r001,"Marine technicians use survey forms and the compact buoy marker tool. Supervisors ask researchers to reliably record violet tags, not amber tags. They then steadily continue checks with the requested voyage summary before docking."
r002,"A neighborhood bakery tests one seasonal loaf each month. Staff compare crust color, texture, and cooling time before adding the recipe to the weekend menu."
r003,"Museum staff use morning notes and the approved case marker tool. Curators ask assistants to clearly record amber labels, not violet labels. They then calmly continue rounds with the requested gallery summary before opening."
r004,The astronomy club meets after sunset to identify bright planets and compare telescope views. New members begin with the moon because its larger features are easy to locate.
r005,Woodworking students start by measuring scrap boards and practicing straight cuts. Their first finished project is a small tray designed to teach sanding and simple joinery.
r006,"Museum staff employ morning notes and the approved case sign instrument. Curators ask assistants to clearly document amber labels, not violet labels. They later calmly resume rounds with the scheduled gallery report before opening."
r007,"Garden volunteers use weekly sheets and the shared bed marker tool. Coordinators ask members to accurately record violet ribbons, not amber ribbons. They then quietly continue maintenance with the requested garden summary before lunch."
r008,"Studio members use firing logs and the small kiln marker tool. Instructors ask artists to consistently record amber stickers, not violet stickers. They then safely continue cleanup with the requested exhibition summary after cooling."
r009,"Library assistants employ review cards and the standard shelf sign instrument. Archivists ask staff to carefully document amber slips, not violet slips. They later promptly resume inspections with the scheduled collection report after shelving."
r010,"Library assistants use review cards and the standard shelf marker tool. Archivists ask staff to carefully record amber slips, not violet slips. They then promptly continue inspections with the requested collection summary after shelving."
r011,"Studio members employ firing logs and the small kiln sign instrument. Instructors ask artists to consistently document amber stickers, not violet stickers. They later safely resume cleanup with the scheduled exhibition report after cooling."
r012,Commuters along the river route can choose a shaded footpath or a frequent local bus. Both options reach the central station before the morning markets open.
r013,"Marine technicians employ survey forms and the compact buoy sign instrument. Supervisors ask researchers to reliably document amber tags, not violet tags. They later steadily resume checks with the scheduled voyage report before docking."
r014,"Garden volunteers employ weekly sheets and the shared bed sign instrument. Coordinators ask members to accurately document amber ribbons, not violet ribbons. They later quietly resume maintenance with the scheduled garden report before lunch."
r015,A local history group is cataloging photographs of the old railway district. Volunteers add approximate dates and short captions after comparing storefront signs and street maps.
